form='Låg-'	lemma='låg'	Degree=Pos|Gender=Com	in_treebanks={None}	Låg- och mellanstadiet
form='låg-'	lemma='låg'	Degree=Pos|Gender=Com	in_treebanks={None}	Av låg- och mellanstadielärarna utbildades nämligen bara en tredjedel i fjol för det nya systemet via Deltaprojektet.
form='fri-'	lemma='fri'	Degree=Pos|Gender=Com	in_treebanks={None}	Förhållandet mellan samhällets krav och individens fri- och rättigheter är en viktig del av det moderna äktenskapets problem
form='sexual-'	lemma='sexual'	Degree=Pos|Gender=Com	in_treebanks={None}	Den är numera en ganska opraktisk nödvändighet, bottnande i vår trygghets avhängighet av vanor och konventioner, i våra föreställningar om familjen som garant för omtanken om barnen, för värme och samhörighet, ja t o m 'goda seder' och hög (sexual-) moral.
form='Glada'	lemma='glad'	Case=Nom|Degree=Pos|Number=Plur	in_treebanks={None}	Glada över att ha fått ett jobb.
form='stadda'	lemma='städja'	Case=Nom|Degree=Pos|Number=Plur	in_treebanks={None}	Barn, överbeskyddade av mamma som sett dem som sitt existensberättigande, och underbeskyddade av och kontaktoförmögna på ett normalt känslomässigt sätt med dessa främmande trötta kvällspappafåglar eller över lördagar och söndagar koncentrerat lekande och på utflykt stadda fäder.
form='ledda'	lemma='leda'	Case=Nom|Number=Plur|Tense=Past|VerbForm=Part	in_treebanks={None}	Nationalisterna - ledda av Frankrike - vill få med Sverige för att hålla igen på EEC:s överstatlighet.
form='försedda'	lemma='förse'	Case=Nom|Number=Plur|Tense=Past|VerbForm=Part	in_treebanks={None}	Men också när postsorteringen sker manuellt, underlättas den om försändelserna är försedda med postnummer.
form='avsedda'	lemma='avse'	Case=Nom|Number=Plur|Tense=Past|VerbForm=Part	in_treebanks={None}	Paket med vanlig befordran transporteras med postlägenheter som är avsedda för den tyngre och utrymmeskrävande posten.
form='uppnådda'	lemma='uppnå'	Case=Nom|Number=Plur|Tense=Past|VerbForm=Part	in_treebanks={None}	Om man tänker på kvinnans ställning och representation i samhällslivet på basis av den allmänna rösträtten kan de uppnådda resultaten inte sägas mer än formellt bekräfta att kvinnan har allmän och lika rösträtt.
